test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
T_max,1600,Big,TSRHSE,6400,1600,300453722.7042616,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,1600,Big,QFAMES,6400,1600,300453722.7042616,"[0.3702198464102068, 0.28031359641020737, 0.13093859641020686, 0.37318859641020746, 0.2773448464102066, 0.36528234641020685, 0.28521984641020726, 0.12803234641020703, 0.3790323464102068]","[0.7355225912567376, 0.2773448464102066, 2.0398436323842972e-05, 0.8478568135996591, 1.335433481591819e-05, 0.3526512590952964, 3.8902510632154996e-05, 0.0028673474893676776]",[1 1 1 0 0 0 0 0 0]
T_max,2400,None,QPE,8,1694.3365706703553,3375.4361368823484,0.36999460443556076,0.0002456404109700272,
T_max,2400,None,KQPE,8,1694.3365706703553,3375.4361368823484,0.3708345446792592,0.0005942998327284066,
T_max,2400,None,QMEGS,76,2400,76139.8454017453,"[-2.994092653589793, -0.5459884869231264, -0.3703634869231262, 0.048428179743540606, 1.2078656797435403, 1.4283656797435405, 1.4435740130768742, 1.5821781797435408]","[0.00012324207659542008, 0.04842817974354061, 0.8376254348970097, 0.07132026973367472, 1.148065437668149, 2.926661240904704, 1.3126743191772994, 1.451278485843966]",
T_max,2400,None,TSRHSE,6400,2400,450680584.05639195,"[-0.4787560257263739, -0.3673577348339662, -0.0720664550281875, 0.0014105743749661386, 0.12466626228304435, 0.14001676095949497, 0.2717734641182659, 0.3705887433177688]","[0.0028825100125645653, 0.0014105743749661427, 0.00034849847123819, 0.0040878085369221995, 0.008526777957125531, 0.004635042343098389, 0.006233431616530352, 0.00911706705992027]",
T_max,2400,None,QFAMES,6400,2400,450680584.05639195,"[0.1309073464102073, 0.28030317974354063, -0.47465515358979304, -0.06744682025645929, -9.320256459397771e-06, 0.37021984641020717, -0.3702384869231262, 0.27834484641020746, 0.12892817974354048]","[1.757923404566153e-06, 9.320256459393556e-06, 2.0398436323454394e-05, 1.3063599658635905e-05, 2.9376681491832812e-06, 1.5407571370182338e-05, 7.65251063258865e-06, 0.001971514156034221]",[2 1 1 1 1 1 1 0 0]
T_max,2400,Small,QPE,8,1694.3365706703553,3375.4361368823484,0.27233903543972465,0.09790120940680613,
T_max,2400,Small,KQPE,8,1694.3365706703553,3375.4361368823484,0.3708345446792592,0.0005942998327284066,
T_max,2400,Small,QMEGS,76,2400,76139.8454017453,"[-2.363696820256459, -1.9927384869231264, -1.9436134869231263, -0.8126134869231263, -0.721780153589793, -0.36978015358979255, 1.557136513076874, 1.9584281797435414]","[0.0004600912567382376, 1.9436134869231263, 1.1868962682303432, 0.2471119364003413, 1.67812793766815, 0.7451820742380372, 2.123638180822701, 2.494596514156034]",
T_max,2400,Small,TSRHSE,6400,2400,450680584.05639195,"[-0.5673079370748523, -0.3710086281296022, -0.08589094631017692, -0.0029979726842157793, 0.091207971223527, 0.20085794242181254, 0.3331518405777062, 0.374748591819727]","[0.0007683832830714388, 0.002997972684215775, 0.004508346973196353, 0.0926397198854006, 0.052851598502314745, 0.018459533625087815, 0.0396917226760477, 0.06995824852223784]",
T_max,2400,Small,QFAMES,6400,2400,450680584.05639195,"[0.3702406797435405, 0.28030317974354063, 0.1309073464102073, -0.37021765358979264, 5.317974354060223e-05, -0.06738432025645928, 0.3721990130768737, 0.2783240130768741, 0.368282346410207]","[2.2591256738146992e-05, 5.3179743540606445e-05, 4.348970099044003e-07, 0.8429505635996587, 2.9376681491832812e-06, 4.7092428629824656e-05, 7.65251063258865e-06, 0.1474243191772994]",[1 1 1 0 0 0 0 0 0]
T_max,2400,Big,QPE,8,1694.3365706703553,3375.4361368823484,0.20244228628585437,0.16779795856067642,
T_max,2400,Big,KQPE,8,1694.3365706703553,3375.4361368823484,0.10568784523358886,0.2645523996129419,
T_max,2400,Big,QMEGS,76,2400,76139.8454017453,"[-2.3542176535897927, -2.0114884869231267, -0.9735509869231261, -0.9241134869231262, -0.48950932025645955, 0.1791573464102073, 1.6628031797435403, 2.533428179743541]","[0.5538732420765955, 2.0114884869231267, 1.2925629348970098, 0.014841103067007866, 2.25312793766815, 0.906119574238037, 0.048257652510632604, 2.4851173474893673]",
T_max,2400,Big,TSRHSE,6400,2400,450680584.05639195,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
